datetime,open,high,low,close,volume,end_time,adj_close,completed,bband_20_low,bband_20_low_prev,bband_20_high,bband_20_high_prev,close_prev,willr_ema,willr_ema_prev,crossover:close-bband_20_low,crossover:close-bband_20_high,crossunder:close-bband_20_high,crossunder:close-bband_20_low,position_open_state,trades,balances,date
1582156800,0.27466,0.27744,0.27316,0.27685,2956165.6,1582156979999,0.27685,True,,,,,,,,False,False,False,False,False,,,2020-02-20:00-00-00
1582156980,0.27699,0.27761,0.27533,0.27635,2180292.8,1582157159999,0.27635,True,,,,,0.27685,,,False,False,False,False,False,,,2020-02-20:00-03-00
1582157160,0.27638,0.27753,0.27624,0.2766,1473043.9,1582157339999,0.2766,True,,,,,0.27635,,,False,False,False,False,False,,,2020-02-20:00-06-00
1582157340,0.27674,0.2772,0.2767,0.27683,342459.2,1582157519999,0.27683,True,,,,,0.2766,,,False,False,False,False,False,,,2020-02-20:00-09-00
1582157520,0.27683,0.27752,0.2763,0.277,786871.0,1582157699999,0.277,True,,,,,0.27683,,,False,False,False,False,False,,,2020-02-20:00-12-00
1582157700,0.27705,0.27888,0.27695,0.27853,1264616.1,1582157879999,0.27853,True,,,,,0.277,,,False,False,False,False,False,,,2020-02-20:00-15-00
1582157880,0.27852,0.27946,0.27777,0.27928,1593165.1,1582158059999,0.27928,True,,,,,0.27853,,,False,False,False,False,False,,,2020-02-20:00-18-00
1582158060,0.2793,0.28051,0.27862,0.27956,1140491.4,1582158239999,0.27956,True,,,,,0.27928,,,False,False,False,False,False,,,2020-02-20:00-21-00
1582158240,0.27949,0.28035,0.2793,0.27996,571130.8,1582158419999,0.27996,True,,,,,0.27956,,,False,False,False,False,False,,,2020-02-20:00-24-00
1582158420,0.27994,0.28027,0.27907,0.27917,508079.3,1582158599999,0.27917,True,,,,,0.27996,,,False,False,False,False,False,,,2020-02-20:00-27-00
1582158600,0.27915,0.27968,0.27871,0.27903,844551.0,1582158779999,0.27903,True,,,,,0.27917,,,False,False,False,False,False,,,2020-02-20:00-30-00
1582158780,0.27907,0.28148,0.27907,0.28054,822483.7,1582158959999,0.28054,True,,,,,0.27903,,,False,False,False,False,False,,,2020-02-20:00-33-00
