,time_candle,symbol,position,action,price,balance,datetime,usdbal,tradesize,tokenbal,fees,pnl,hold,roi per trade
0,1618186931,XMRUSDT asset_type:futures strategy:WillRBband floating_willr:True ENTRY PARAMS: willr_diff_threshold:0.4 willrema_long_entry:-100 willrEMA_short_entry:0 willr_long_entry:-100 willr_short_entry:0 stoploss:0.1 timestop:18000,,,,10000.0,1618186931,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1613145780,,Short,Open,200.54,,1613145780,9996.0,-49.865363518500054,-49.865363518500054,4.0,0.0,,
2,1613163960,,Short,Close,205.13,9763.301087064923,1613163960,9763.026428642665,49.865363518500054,0.0,4.0915528074199665,-228.88201854991541,18180.0,-0.0229
3,1613295900,,Short,Open,232.85,,1613295900,9759.121218071208,-41.928393509309274,-41.928393509309274,3.905210571457066,0.0,,
4,1613309940,,Short,Close,227.37,9985.080687316811,1613309940,9985.075510969338,41.928393509309274,0.0,3.8133035328846603,229.7675964310144,14040.0,0.0235
5,1613343060,,Long,Open,235.28,,1613343060,9981.081480764951,42.43911726865581,42.43911726865581,3.9940302043877356,0.0,,
6,1613355660,,Long,Close,206.06,8738.013030633116,1613355660,8737.512472373077,-42.43911726865581,0.0,3.4980018017516867,-1240.0710065901226,12600.0,-0.1242
7,1613372940,,Short,Open,212.87,,1613372940,8734.017467384128,-41.046237010255446,-41.046237010255446,3.4950049889492307,0.0,,
8,1613391120,,Short,Close,217.39,8545.631431955953,1613391120,8544.919259512311,41.046237010255446,0.0,3.5692165854637725,-185.52899128635386,18180.0,-0.0212
9,1613401200,,Long,Open,219.7,,1613401200,8541.501291808507,38.89357878703829,38.89357878703829,3.4179677038049245,0.0,,
10,1613404980,,Long,Close,225.09,8748.281065433548,1613404980,8747.635859210974,-38.89357878703829,0.0,3.5018222596697797,209.63638966213693,3780.0,0.0245
11,1613413800,,Long,Open,227.51,,1613413800,8744.136804867288,38.44945654789229,38.44945654789229,3.4990543436843895,0.0,,
12,1613419200,,Long,Close,228.86,8793.151506972941,1613419200,8792.523754156724,-38.44945654789229,0.0,3.519817050220252,51.90676633965546,5400.0,0.0059
13,1613422260,,Long,Open,225.54,,1613422260,8789.006744655062,38.98432098145218,38.98432098145218,3.51700950166269,0.0,,
14,1613429460,,Long,Close,226.38,8818.839954057,1613429460,8818.22346604597,-38.98432098145218,0.0,3.530108233512458,32.746829624419966,7200.0,0.0037
15,1613552940,,Long,Open,242.09,,1613552940,8814.696176659552,36.425393308463676,36.425393308463676,3.5272893864183885,0.0,,
16,1613553480,,Long,Close,245.45,8934.084841628784,1613553480,8933.509253060964,-36.425393308463676,0.0,3.5762451150249635,122.3893215164374,540.0,0.0139
17,1613651760,,Short,Open,261.53,,1613651760,8929.93584935974,-34.158640511837895,-34.158640511837895,3.5734037012243856,0.0,,
18,1613661660,,Short,Close,263.31,8866.17992116769,1613661660,8865.535744595398,34.158640511837895,0.0,3.5977246532688145,-60.80238011107246,9900.0,-0.0068
19,1613668140,,Short,Open,259.73,,1613668140,8861.98953029756,-34.133660896297684,-34.133660896297684,3.5462142978381594,0.0,,
20,1613674440,,Short,Close,255.54,9002.00298398622,1613674440,9001.520563170872,34.133660896297684,0.0,3.489006282175964,143.02003915548818,6300.0,0.0161
21,1613682900,,Short,Open,257.17,,1613682900,8997.919954945604,-35.00221862258767,-35.00221862258767,3.600608225268349,0.0,,
22,1613700360,,Short,Close,255.2,9063.704281321978,1613700360,9063.30129915511,35.00221862258767,0.0,3.5730264769937494,68.95437068649866,17460.0,0.0077
23,1613732400,,Long,Open,270.51,,1613732400,9059.675978635447,33.504496318639276,33.504496318639276,3.625320519662044,0.0,,
24,1613735460,,Long,Close,273.82,9167.26940780945,1613735460,9166.906180977356,-33.504496318639276,0.0,3.669680472787923,110.89988281469608,3060.0,0.0122
25,1613739600,,Long,Open,270.61,,1613739600,9163.239418504965,33.87497202977479,33.87497202977479,3.6667624723909427,0.0,,
26,1613750220,,Long,Close,269.75,9130.825268905042,1613750220,9130.451833077344,-33.87497202977479,0.0,3.6551094820127004,-29.13247594560678,10620.0,-0.0032
27,1613804760,,Short,Open,280.17,,1613804760,9126.799652344114,-32.58897038611323,-32.58897038611323,3.6521807332309377,0.0,,
28,1613811420,,Short,Close,274.04,9323.13934492602,1613811420,9322.997768233143,32.58897038611323,0.0,3.5722725778441884,199.77038846687395,6660.0,0.0219
29,1613817180,,Short,Open,276.67,,1613817180,9319.26856912585,-33.69717630474263,-33.69717630474263,3.7291991072932573,0.0,,
30,1613829420,,Short,Close,271.31,9496.155945559429,1613829420,9496.228481757975,33.69717630474263,0.0,3.656952361295889,180.61686499342093,12240.0,0.0194
