datetime,open,high,low,close,volume,end_time,adj_close,completed,bband_20_low,bband_20_low_prev,bband_20_high,bband_20_high_prev,close_prev,willr_ema,willr_ema_prev
1577836800,129.16,129.19,128.94,128.98,565.09562,1577836979999,128.98,True,,,,,,,
1577836980,128.95,129.02,128.69,128.76,398.46394,1577837159999,128.76,True,,,,,128.98,,
1577837160,128.82,128.95,128.7,128.95,380.36533,1577837339999,128.95,True,,,,,128.76,,
1577837340,128.94,128.98,128.8,128.85,362.51668,1577837519999,128.85,True,,,,,128.95,,
1577837520,128.84,128.91,128.8,128.91,177.13757,1577837699999,128.91,True,,,,,128.85,,
1577837700,128.91,129.05,128.84,128.9,266.60699,1577837879999,128.9,True,,,,,128.91,,
1577837880,128.88,128.92,128.8,128.84,368.55188,1577838059999,128.84,True,,,,,128.9,,
1577838060,128.82,128.91,128.8,128.8,144.402,1577838239999,128.8,True,,,,,128.84,,
1577838240,128.81,128.96,128.69,128.74,2417.75355,1577838419999,128.74,True,,,,,128.8,,
1577838420,128.73,128.84,128.68,128.78,488.75926,1577838599999,128.78,True,,,,,128.74,,
1577838600,128.76,129.03,128.76,128.93,279.31612,1577838779999,128.93,True,,,,,128.78,,
1577838780,128.93,128.98,128.85,128.87,532.08128,1577838959999,128.87,True,,,,,128.93,,
1577838960,128.96,128.98,128.88,128.93,107.22406,1577839139999,128.93,True,,,,,128.87,,
1577839140,128.92,128.96,128.84,128.87,150.02933,1577839319999,128.87,True,,,,,128.93,,
1577839320,128.88,128.9,128.8,128.86,72.53209,1577839499999,128.86,True,,,,,128.87,,
1577839500,128.87,128.89,128.79,128.81,71.63617,1577839679999,128.81,True,,,,,128.86,,
1577839680,128.79,128.87,128.73,128.82,461.31965,1577839859999,128.82,True,,,,,128.81,,
1577839860,128.82,128.83,128.7,128.77,106.9156,1577840039999,128.77,True,,,,,128.82,,
1577840040,128.77,128.83,128.68,128.77,176.05343,1577840219999,128.77,True,,,,,128.77,,
1577840220,128.77,128.96,128.75,128.87,242.41281,1577840399999,128.87,True,128.69612990088754,,129.00487009911248,,128.77,,
1577840400,128.87,129.1,128.78,129.1,332.88727,1577840579999,129.1,True,128.66763722574316,128.69612990088754,129.04536277425686,129.00487009911248,128.87,,
1577840580,129.07,129.11,128.91,129.03,196.41653,1577840759999,129.03,True,128.66949064859713,128.66763722574316,129.07050935140288,129.04536277425686,129.1,,
1577840760,129.03,129.16,128.9,129.13,221.64399,1577840939999,129.13,True,128.6424351885846,128.66949064859713,129.11556481141537,129.07050935140288,129.03,,
1577840940,129.13,129.25,129.04,129.21,447.38277,1577841119999,129.21,True,128.60889343985252,128.6424351885846,129.18510656014746,129.11556481141537,129.13,,
1577841120,129.2,129.25,129.11,129.13,171.4357,1577841299999,129.13,True,128.59706585906338,128.60889343985252,129.21893414093665,129.18510656014746,129.21,,
1577841300,129.13,129.19,129.07,129.16,131.49893,1577841479999,129.16,True,128.58549156493464,128.59706585906338,129.25650843506534,129.21893414093665,129.13,,
1577841480,129.17,129.37,129.13,129.26,333.12785,1577841659999,129.26,True,128.56931482455025,128.58549156493464,129.31468517544977,129.25650843506534,129.16,,
1577841660,129.29,129.74,129.27,129.63,1366.82034,1577841839999,129.63,True,128.48385047533293,128.56931482455025,129.48314952466706,129.31468517544977,129.26,,
1577841840,129.64,130.08,129.56,129.9,1370.80335,1577842019999,129.9,True,128.3794245152552,128.48385047533293,129.70357548474476,129.48314952466706,129.63,,
1577842020,129.91,130.58,129.9,130.26,2164.16671,1577842199999,130.26,True,128.23006048907902,128.3794245152552,130.00093951092103,129.70357548474476,129.9,,
1577842200,130.26,130.65,130.23,130.35,777.27876,1577842379999,130.35,True,128.11349946528438,128.23006048907902,130.2595005347156,130.00093951092103,130.26,,
1577842380,130.38,130.5,130.25,130.26,579.1788,1577842559999,130.26,True,128.0710557143899,128.11349946528438,130.4409442856101,130.2595005347156,130.35,,
