datetime,open,high,low,close,volume,end_time,adj_close,completed,willr,willr_ema,willr_ema_prev
1577836800,129.16,129.19,128.68,128.87,7769.17336,1577840399999,128.87,True,,,
1577840400,128.87,130.65,128.78,130.64,11344.65516,1577843999999,130.64,True,,,
1577844000,130.63,130.98,130.35,130.85,7603.35623,1577847599999,130.85,True,,,
1577847600,130.85,130.89,129.94,130.2,4968.55433,1577851199999,130.2,True,,,
1577851200,130.21,130.74,130.15,130.2,3397.90747,1577854799999,130.2,True,,,
1577854800,130.2,130.47,130.11,130.3,4243.6064,1577858399999,130.3,True,,,
1577858400,130.31,130.75,130.26,130.44,3668.90166,1577861999999,130.44,True,,,
1577862000,130.47,130.71,130.14,130.24,4147.17413,1577865599999,130.24,True,,,
1577865600,130.24,130.41,129.87,130.36,7541.44497,1577869199999,130.36,True,,,
1577869200,130.4,130.62,130.13,130.17,4808.20496,1577872799999,130.17,True,,,
1577872800,130.17,130.82,130.07,130.7,4625.5017,1577876399999,130.7,True,,,
1577876400,130.67,131.87,130.6,130.74,10847.79032,1577879999999,130.74,True,,,
1577880000,130.74,131.61,130.7,131.61,4163.30667,1577883599999,131.61,True,,,
1577883600,131.6,131.9,131.28,131.68,7160.65302,1577887199999,131.68,True,-6.83229813664593,,
1577887200,131.66,132.37,131.24,131.96,7325.25762,1577890799999,131.96,True,-11.420612813370367,,
1577890800,131.95,132.4,131.6,132.08,5361.06926,1577894399999,132.08,True,-12.648221343873242,,
1577894400,132.08,132.95,131.78,132.85,6915.20906,1577897999999,132.85,True,-3.246753246753079,,
1577898000,132.86,133.05,132.27,132.34,5424.00732,1577901599999,132.34,True,-22.327044025157434,,
1577901600,132.34,132.46,131.57,132.04,5707.7934,1577905199999,132.04,True,-31.761006289308717,,
1577905200,132.04,132.16,131.62,131.86,2111.21443,1577908799999,131.86,True,-37.42138364779859,,
1577908800,131.86,132.25,131.7,132.18,2014.79285,1577912399999,132.18,True,-27.35849056603782,,
