datetime,open,high,low,close
1593561600,225.59,225.61,224.16,225.04
1593565200,225.05,225.33,224.36,224.97
1593568800,224.98,226.0,224.61,225.44
1593572400,225.46,225.84,224.3,225.44
1593576000,225.45,226.0,225.36,225.62
1593579600,225.63,226.0,225.32,225.51
1593583200,225.51,225.86,224.8,225.14
1593586800,225.13,226.35,225.1,225.58
1593590400,225.58,228.91,225.56,227.87
1593594000,227.86,228.53,227.4,227.61
1593597600,227.61,228.18,227.28,227.45
1593601200,227.44,227.67,226.73,227.66
1593604800,227.66,227.72,226.8,227.7
1593608400,227.69,229.13,227.26,228.43
1593612000,228.44,229.24,228.27,228.59
1593615600,228.59,229.42,228.51,229.42
1593619200,229.42,231.98,228.7,231.5
1593622800,231.5,232.71,231.2,232.35
1593626400,232.37,232.51,231.44,231.69
1593630000,231.68,232.07,230.69,231.1
1593633600,231.1,232.2,230.97,231.32
1593637200,231.33,231.68,230.75,231.13
1593640800,231.12,231.43,230.29,230.91
1593644400,230.9,232.19,230.51,230.99
1593648000,230.99,231.52,230.41,230.61
1593651600,230.6,231.5,230.39,231.5
1593655200,231.5,232.01,230.97,231.07
1593658800,231.07,231.4,230.81,231.06
1593662400,231.04,231.45,230.85,231.06
1593666000,231.05,231.61,228.2,228.48
1593669600,228.49,229.09,227.63,228.53
1593673200,228.5,229.1,228.26,228.6
1593676800,228.63,229.32,227.83,229.01
1593680400,229.0,229.47,228.62,228.9
1593684000,228.91,228.98,227.8,228.68
1593687600,228.68,228.69,227.0,228.19
1593691200,228.19,229.69,227.6,229.51
1593694800,229.51,231.42,229.12,230.52
1593698400,230.55,231.06,228.8,228.96
1593702000,228.96,228.99,224.5,225.07
1593705600,225.09,226.21,222.87,225.93
1593709200,225.93,226.41,225.25,225.77
1593712800,225.77,226.72,224.64,226.23
1593716400,226.24,226.41,224.86,225.72
1593720000,225.73,226.44,225.1,226.31
1593723600,226.32,228.35,225.91,227.4
1593727200,227.41,228.14,226.32,226.87
1593730800,226.87,227.32,226.25,226.46
1593734400,226.46,226.54,225.32,226.29
1593738000,226.3,228.13,225.87,227.49
1593741600,227.48,227.68,226.32,226.58
1593745200,226.59,227.01,226.0,226.28
1593748800,226.29,226.75,225.65,226.65
1593752400,226.67,227.42,226.31,227.19
1593756000,227.2,227.52,226.58,226.71
1593759600,226.67,227.5,226.5,227.21
1593763200,227.23,228.11,226.73,227.18
1593766800,227.18,227.65,225.5,226.39
1593770400,226.38,226.75,225.74,226.47
1593774000,226.48,227.24,226.09,227.14
1593777600,227.12,227.88,226.72,227.31
1593781200,227.31,228.11,226.98,227.1
1593784800,227.1,227.4,226.25,226.8
1593788400,226.8,227.3,226.56,226.92
1593792000,226.92,227.41,226.5,226.74
1593795600,226.75,227.2,226.45,226.54
1593799200,226.55,226.98,226.1,226.27
1593802800,226.26,226.45,225.75,226.39
1593806400,226.4,226.86,225.87,226.8
1593810000,226.79,226.91,226.22,226.7
1593813600,226.7,226.77,225.98,226.09
1593817200,226.07,226.07,223.97,224.87
1593820800,224.86,225.79,224.43,225.25
1593824400,225.25,225.55,224.86,225.38
1593828000,225.39,226.76,225.1,226.42
1593831600,226.42,226.86,226.05,226.08
1593835200,226.09,226.51,225.84,226.03
1593838800,226.04,226.63,225.84,226.59
1593842400,226.59,226.66,225.92,226.19
1593846000,226.19,226.47,225.92,226.09
1593849600,226.09,226.46,225.98,226.23
1593853200,226.23,226.45,225.91,226.08
1593856800,226.09,226.16,225.4,225.7
1593860400,225.65,226.15,225.4,225.63
1593864000,225.63,226.36,225.27,226.2
1593867600,226.19,226.52,226.0,226.33
1593871200,226.33,226.55,225.76,225.84
1593874800,225.85,226.1,225.11,225.86
1593878400,225.85,226.09,225.42,225.92
1593882000,225.92,230.71,225.68,229.93
1593885600,229.95,230.54,227.93,228.72
1593889200,228.72,229.12,228.04,228.98
1593892800,228.99,229.5,228.76,228.96
1593896400,228.96,229.25,228.36,228.72
1593900000,228.75,229.1,228.35,228.86
1593903600,228.85,229.29,228.45,229.17
1593907200,229.24,229.85,228.99,229.03
1593910800,229.02,229.26,228.72,228.9
1593914400,228.88,229.13,227.55,227.91
1593918000,227.95,228.32,227.39,228.24
1593921600,228.23,228.37,227.76,228.24
1593925200,228.22,228.34,226.42,226.74
1593928800,226.75,227.19,226.42,226.73
1593932400,226.69,227.04,226.33,226.67
1593936000,226.67,227.11,226.45,226.85
1593939600,226.86,226.95,223.05,224.47
1593943200,224.48,225.5,223.48,225.17
1593946800,225.15,225.75,225.05,225.14
1593950400,225.14,225.58,224.25,225.58
1593954000,225.58,225.58,224.56,224.82
1593957600,224.82,225.39,224.56,225.32
1593961200,225.33,226.26,224.8,225.0
1593964800,224.96,225.71,224.75,225.02
1593968400,225.04,225.59,224.9,225.16
1593972000,225.15,225.6,224.85,225.42
1593975600,225.41,225.84,225.11,225.18
1593979200,225.18,225.45,224.86,224.94
1593982800,224.95,227.0,223.22,226.17
1593986400,226.2,228.04,226.18,227.44
1593990000,227.45,228.24,226.96,227.56
1593993600,227.54,228.12,226.93,226.98
1593997200,226.99,228.09,226.99,228.05
1594000800,228.05,228.8,227.8,227.97
1594004400,227.97,228.16,227.39,227.86
1594008000,227.88,228.23,227.67,227.88
1594011600,227.89,228.92,227.78,228.88
1594015200,228.89,233.26,228.64,232.57
1594018800,232.58,234.15,232.08,232.8
1594022400,232.82,233.46,232.45,233.4
1594026000,233.43,234.01,232.54,233.89
1594029600,233.89,234.49,232.93,233.47
1594033200,233.48,235.93,233.39,235.69
1594036800,235.69,237.5,234.59,237.06
1594040400,236.99,237.36,236.33,236.74
1594044000,236.77,237.06,235.26,235.97
1594047600,235.97,238.86,235.27,238.79
1594051200,238.78,240.77,238.02,239.42
1594054800,239.42,239.94,238.66,239.58
1594058400,239.58,239.92,238.6,238.85
1594062000,238.86,238.95,237.87,238.42
1594065600,238.39,238.73,237.29,238.19
1594069200,238.2,239.96,238.16,238.69
1594072800,238.69,239.56,238.18,239.43
1594076400,239.44,242.0,239.1,241.6
1594080000,241.6,243.77,241.14,241.35
1594083600,241.35,241.47,238.61,239.64
1594087200,239.6,239.6,237.86,239.31
1594090800,239.28,240.41,239.04,239.25
1594094400,239.25,239.57,238.55,238.67
1594098000,238.66,239.38,238.23,238.94
1594101600,238.95,239.03,235.97,237.25
1594105200,237.27,237.27,235.93,237.04
1594108800,237.03,237.83,236.54,237.44
1594112400,237.44,237.45,234.4,235.15
1594116000,235.21,236.78,234.88,236.53
1594119600,236.53,237.99,235.95,237.55
1594123200,237.58,238.16,236.92,237.68
1594126800,237.68,237.83,236.45,237.37
1594130400,237.39,239.61,236.77,237.2
1594134000,237.21,238.87,237.01,238.82
1594137600,238.81,239.65,238.0,238.42
1594141200,238.42,240.24,238.19,239.87
1594144800,239.87,239.95,238.24,238.9
1594148400,238.9,238.94,237.66,237.98
1594152000,237.98,238.51,236.58,238.49
1594155600,238.49,238.9,237.17,238.13
1594159200,238.16,239.0,237.8,238.93
1594162800,238.92,239.86,238.36,239.39
1594166400,239.39,239.66,237.78,238.46
1594170000,238.47,240.13,238.31,240.12
1594173600,240.13,242.28,240.12,241.47
1594177200,241.47,242.24,240.75,241.9
1594180800,241.91,242.66,238.28,239.2
1594184400,239.18,239.77,238.23,239.19
1594188000,239.19,240.25,239.13,239.99
1594191600,239.99,241.6,239.47,240.76
1594195200,240.76,241.55,240.11,240.76
1594198800,240.78,241.66,240.25,241.09
1594202400,241.1,244.27,241.09,243.6
1594206000,243.6,244.6,242.48,244.07
1594209600,244.07,244.7,241.28,242.06
1594213200,242.06,246.9,242.0,246.32
1594216800,246.33,247.63,245.05,245.63
1594220400,245.64,246.47,244.72,245.73
1594224000,245.73,246.86,245.0,245.54
1594227600,245.54,246.83,245.0,246.82
1594231200,246.83,247.26,246.0,246.52
1594234800,246.52,248.8,246.48,248.56
1594238400,248.6,248.88,245.69,246.31
1594242000,246.31,247.86,246.05,247.54
1594245600,247.53,248.33,246.75,247.29
1594249200,247.29,247.29,246.02,246.95
1594252800,246.94,247.03,244.8,245.68
1594256400,245.67,245.82,244.45,244.57
1594260000,244.57,245.55,243.0,244.57
1594263600,244.58,244.99,243.89,244.68
1594267200,244.65,245.58,244.37,244.93
1594270800,244.93,245.77,244.61,245.2
1594274400,245.22,247.61,245.07,247.44
1594278000,247.44,247.9,246.32,246.71
1594281600,246.7,246.79,245.75,246.2
1594285200,246.17,246.65,245.3,246.05
1594288800,246.04,246.25,244.6,244.82
1594292400,244.83,246.63,244.39,246.53
1594296000,246.54,247.6,246.19,247.28
1594299600,247.31,247.5,244.81,245.63
1594303200,245.62,245.72,241.5,242.28
1594306800,242.3,242.3,237.88,239.87
1594310400,239.86,240.79,238.95,240.35
1594314000,240.34,240.94,239.36,240.2
1594317600,240.19,240.91,239.86,240.46
1594321200,240.45,240.55,238.28,239.98
1594324800,239.98,241.64,239.43,241.24
1594328400,241.24,242.11,241.01,241.78
1594332000,241.77,242.1,240.82,241.67
1594335600,241.66,242.2,240.92,241.98
1594339200,241.97,242.16,240.61,240.61
1594342800,240.61,241.34,240.1,240.91
1594346400,240.9,241.07,239.9,240.76
1594350000,240.77,241.17,240.0,240.52
1594353600,240.53,240.59,236.23,237.11
1594357200,237.12,238.16,235.72,237.81
1594360800,237.81,238.3,237.36,237.39
1594364400,237.38,238.65,236.88,238.02
1594368000,238.04,240.35,237.93,239.17
1594371600,239.14,239.36,238.36,239.16
1594375200,239.15,239.56,238.07,238.79
1594378800,238.84,239.68,237.89,238.01
1594382400,237.97,239.46,237.97,239.16
1594386000,239.17,239.57,238.33,239.26
1594389600,239.29,239.96,238.23,239.41
1594393200,239.4,240.79,239.17,240.62
1594396800,240.61,240.79,239.06,239.64
1594400400,239.64,239.77,238.51,239.39
1594404000,239.38,239.39,238.44,239.01
1594407600,239.02,239.88,238.99,239.53
1594411200,239.51,240.0,239.04,239.18
1594414800,239.2,239.6,238.59,239.04
1594418400,239.04,240.31,238.66,239.8
1594422000,239.85,241.6,239.6,241.26
1594425600,241.27,241.58,240.77,240.8
1594429200,240.81,241.46,240.21,241.4
1594432800,241.41,241.67,240.96,241.25
1594436400,241.26,241.39,240.28,240.54
1594440000,240.52,240.92,239.7,239.88
1594443600,239.88,240.5,239.58,239.85
1594447200,239.85,240.21,239.54,239.9
1594450800,239.9,240.87,239.87,240.46
1594454400,240.47,240.61,240.1,240.27
1594458000,240.27,240.27,237.54,238.45
1594461600,238.47,239.22,238.27,238.7
1594465200,238.72,239.37,238.35,238.5
1594468800,238.49,239.2,238.27,238.97
1594472400,238.97,239.23,238.25,239.05
1594476000,239.06,240.24,238.35,240.19
1594479600,240.19,240.29,239.42,239.57
1594483200,239.56,240.4,238.95,239.09
1594486800,239.08,239.6,238.62,238.97
1594490400,238.92,239.15,238.51,239.01
1594494000,239.01,239.02,237.58,237.9
1594497600,237.91,238.82,237.9,238.81
