datetime,open,high,low,close
1606780800,87.77,88.01,85.5,86.41
1606784400,86.41,90.29,85.98,89.88
1606788000,89.89,90.87,88.57,90.25
1606791600,90.25,90.29,88.19,88.36
1606795200,88.35,89.83,88.24,89.17
1606798800,89.17,89.86,88.7,89.17
1606802400,89.16,90.37,87.14,87.74
1606806000,87.73,89.4,87.66,89.02
1606809600,89.01,89.85,88.36,88.62
1606813200,88.61,89.83,88.12,89.72
1606816800,89.74,91.84,89.44,90.27
1606820400,90.25,91.8,85.8,88.38
1606824000,88.39,88.66,79.3,81.5
1606827600,81.49,86.5,79.48,85.32
1606831200,85.31,93.03,84.22,91.7
1606834800,91.72,93.2,89.48,91.25
1606838400,91.23,92.9,87.47,88.47
1606842000,88.47,89.43,85.57,89.25
1606845600,89.24,89.3,86.36,87.31
1606849200,87.27,89.44,87.11,88.97
1606852800,88.99,89.56,87.74,88.2
1606856400,88.22,89.14,87.83,88.02
1606860000,88.02,89.64,86.37,86.43
1606863600,86.43,86.69,84.01,85.16
1606867200,85.15,87.24,82.62,86.84
1606870800,86.82,87.05,85.24,86.71
1606874400,86.71,86.76,84.37,85.18
1606878000,85.2,86.79,84.48,84.83
1606881600,84.86,85.75,83.2,85.04
1606885200,85.01,85.79,83.98,85.64
1606888800,85.64,89.07,85.52,88.89
1606892400,88.89,90.18,87.71,89.94
1606896000,89.94,90.75,88.16,88.77
1606899600,88.76,89.88,87.68,87.72
1606903200,87.72,89.0,87.5,88.83
1606906800,88.81,89.89,88.12,89.19
1606910400,89.2,89.24,86.66,87.89
1606914000,87.86,89.46,87.65,87.79
1606917600,87.78,88.55,86.86,86.91
1606921200,86.91,87.36,85.45,86.53
1606924800,86.57,87.17,84.64,85.15
1606928400,85.15,86.38,84.92,86.31
1606932000,86.3,87.86,86.01,87.13
1606935600,87.15,87.88,86.62,87.2
1606939200,87.19,87.83,86.86,87.34
1606942800,87.34,87.71,86.6,87.12
1606946400,87.13,89.39,87.13,88.84
1606950000,88.86,89.66,88.46,88.98
1606953600,89.0,90.15,88.26,88.58
1606957200,88.61,88.67,87.14,87.48
1606960800,87.52,88.15,87.3,87.56
1606964400,87.56,88.69,87.26,88.1
1606968000,88.11,88.67,87.5,87.65
1606971600,87.66,88.36,85.69,86.06
1606975200,85.99,86.81,85.5,86.3
1606978800,86.31,88.52,85.74,88.22
1606982400,88.23,90.03,87.52,88.91
1606986000,88.92,89.39,87.27,88.58
1606989600,88.58,90.65,88.0,89.5
1606993200,89.5,91.16,89.5,90.01
1606996800,90.02,90.57,88.03,88.82
1607000400,88.83,89.46,88.37,88.68
1607004000,88.68,89.85,88.5,89.07
1607007600,89.08,90.6,88.44,90.46
1607011200,90.48,91.5,87.31,88.8
1607014800,88.81,89.13,88.11,88.67
1607018400,88.65,88.79,88.39,88.6
1607022000,88.58,88.67,88.12,88.59
1607025600,88.59,88.79,87.64,87.92
1607029200,87.91,89.18,87.78,88.93
1607032800,88.92,89.18,88.33,88.91
1607036400,88.9,89.25,88.78,89.05
1607040000,89.05,89.97,88.41,89.21
1607043600,89.22,89.52,88.3,88.42
1607047200,88.41,88.73,87.25,87.68
1607050800,87.68,88.14,86.18,86.81
1607054400,86.83,87.83,86.5,87.58
1607058000,87.61,87.9,86.66,86.8
1607061600,86.81,88.06,86.67,87.39
1607065200,87.36,87.73,86.73,86.9
1607068800,86.91,88.78,86.89,88.59
1607072400,88.6,88.76,87.43,87.81
1607076000,87.8,87.87,83.57,85.81
1607079600,85.81,86.06,83.93,84.3
1607083200,84.3,85.43,83.0,85.33
1607086800,85.31,85.33,84.24,84.89
1607090400,84.89,85.97,84.2,85.01
1607094000,85.05,85.27,84.22,84.39
1607097600,84.39,84.57,81.74,83.3
1607101200,83.31,83.96,83.1,83.62
1607104800,83.62,84.5,83.33,84.19
1607108400,84.19,84.34,83.82,84.08
1607112000,84.09,84.1,83.0,83.36
1607115600,83.37,83.51,80.83,81.61
1607119200,81.61,81.72,77.54,78.62
1607122800,78.61,81.19,78.51,79.54
1607126400,79.54,80.79,78.64,80.5
1607130000,80.5,80.85,79.22,79.25
1607133600,79.27,80.68,79.23,80.4
1607137200,80.4,80.99,80.02,80.51
1607140800,80.54,81.94,80.5,81.41
1607144400,81.4,82.27,81.2,81.92
1607148000,81.91,82.61,81.61,82.46
1607151600,82.47,82.82,81.7,81.86
1607155200,81.86,84.29,81.86,84.07
1607158800,84.09,84.12,82.96,83.7
1607162400,83.71,83.9,82.82,83.44
1607166000,83.45,83.55,82.5,82.91
1607169600,82.89,83.79,82.61,83.36
1607173200,83.36,83.59,81.9,82.28
1607176800,82.27,83.08,82.11,83.03
1607180400,83.05,83.98,82.56,83.09
1607184000,83.09,83.35,82.3,82.95
1607187600,82.95,83.3,82.42,83.22
1607191200,83.22,83.3,82.69,82.91
1607194800,82.92,83.49,82.72,83.25
1607198400,83.26,83.26,82.5,82.81
1607202000,82.84,83.4,82.63,82.71
1607205600,82.73,82.77,81.55,82.09
