datetime,open,high,low,close
1613865600,0.5118,0.5237,0.503,0.5214
1613869200,0.5214,0.5255,0.5137,0.5246
1613872800,0.5246,0.5291,0.5209,0.5238
1613876400,0.5238,0.5335,0.5238,0.5261
1613880000,0.5261,0.5283,0.5181,0.5246
1613883600,0.5248,0.5281,0.5216,0.5243
1613887200,0.5244,0.5274,0.5183,0.5263
1613890800,0.5263,0.5327,0.5151,0.5179
1613894400,0.5181,0.527,0.5145,0.5253
1613898000,0.5254,0.533,0.522,0.5313
1613901600,0.5314,0.5404,0.5294,0.5376
1613905200,0.5375,0.5601,0.5354,0.5504
1613908800,0.5504,0.5539,0.5319,0.5387
1613912400,0.5387,0.544,0.5381,0.5404
1613916000,0.5404,0.5447,0.5325,0.5394
1613919600,0.5393,0.5415,0.5301,0.5404
1613923200,0.5404,0.5536,0.534,0.5399
1613926800,0.5399,0.5512,0.5372,0.5465
1613930400,0.5465,0.553,0.5427,0.5481
1613934000,0.5481,0.5539,0.5466,0.5503
1613937600,0.5503,0.5505,0.5363,0.5396
1613941200,0.5397,0.5419,0.5232,0.5344
1613944800,0.5344,0.5414,0.5323,0.5409
1613948400,0.541,0.5532,0.539,0.5459
1613952000,0.546,0.5483,0.5287,0.5296
1613955600,0.5297,0.5381,0.5233,0.5354
1613959200,0.5354,0.5394,0.5306,0.5331
1613962800,0.5331,0.5358,0.5218,0.5246
1613966400,0.5246,0.5288,0.5154,0.5258
1613970000,0.5258,0.6535,0.5247,0.651
1613973600,0.6511,0.6511,0.5827,0.5903
1613977200,0.5903,0.602,0.571,0.5945
1613980800,0.5945,0.6007,0.572,0.5751
1613984400,0.5752,0.5898,0.5501,0.5609
1613988000,0.5608,0.5665,0.5248,0.5584
1613991600,0.5585,0.6006,0.5554,0.585
1613995200,0.5851,0.5895,0.5545,0.5734
1613998800,0.5734,0.5796,0.5625,0.5657
1614002400,0.566,0.576,0.5076,0.5602
1614006000,0.5602,0.5668,0.5354,0.5547
1614009600,0.5547,0.6159,0.5454,0.5767
1614013200,0.5767,0.5923,0.5585,0.5795
1614016800,0.5796,0.6388,0.5697,0.6206
1614020400,0.6206,0.6209,0.5833,0.5846
1614024000,0.5847,0.595,0.5699,0.5776
1614027600,0.5775,0.5875,0.5613,0.5719
1614031200,0.5719,0.577,0.561,0.5711
1614034800,0.571,0.5733,0.5521,0.5668
1614038400,0.5669,0.5727,0.5567,0.5608
1614042000,0.5609,0.5691,0.537,0.544
1614045600,0.544,0.5499,0.525,0.5303
1614049200,0.5303,0.5535,0.5302,0.5469
1614052800,0.5469,0.5503,0.52,0.5389
1614056400,0.5388,0.5395,0.4992,0.521
1614060000,0.521,0.5334,0.5169,0.5183
1614063600,0.5182,0.5273,0.5127,0.5165
1614067200,0.5164,0.52,0.4086,0.4092
1614070800,0.4094,0.4612,0.3523,0.4464
1614074400,0.4464,0.4688,0.4272,0.449
1614078000,0.449,0.4566,0.4071,0.4381
1614081600,0.4381,0.477,0.4312,0.4665
1614085200,0.4665,0.48,0.4593,0.4716
1614088800,0.4716,0.4795,0.442,0.4541
1614092400,0.4542,0.4755,0.4481,0.4677
1614096000,0.4678,0.4817,0.4572,0.4599
1614099600,0.4599,0.4847,0.4573,0.4736
1614103200,0.4734,0.4869,0.4696,0.4729
1614106800,0.473,0.4759,0.4411,0.4525
1614110400,0.4524,0.4678,0.4486,0.4675
1614114000,0.4676,0.4729,0.4644,0.4672
1614117600,0.4673,0.4701,0.4588,0.4665
1614121200,0.4664,0.4773,0.4659,0.4765
1614124800,0.4765,0.4837,0.4575,0.4777
1614128400,0.4776,0.4959,0.4741,0.4944
1614132000,0.4943,0.4963,0.4851,0.4925
1614135600,0.4925,0.4997,0.4907,0.4963
1614139200,0.4963,0.4994,0.4866,0.4897
1614142800,0.4896,0.4946,0.4838,0.4882
1614146400,0.4882,0.4938,0.4759,0.4838
1614150000,0.4838,0.4859,0.478,0.4845
